IdSensore	Tipologia	Unità DiMisura	IdStazione	NomeStazione	Quota	Provincia	DataStart	DataStop	Storico	UTM_Nord	UTM_Est	lng	lat	location
4032	Velocità Vento	m/s	143	Livigno Passo Foscagno	2320	SO	20/01/2000		N	5149692	592662	10.20748854795916	46.49442378267979	(46.49442378267979, 10.20748854795916)
6458	Radiazione Globale	W/m²	502	Milano v.Juvara	122	MI	01/01/1999		N	5035546	517377	9.222315138737468	45.473225708577175	(45.473225708577175, 9.222315138737468)
5870	Precipitazione	mm	564	Erba v. Battisti	279	CO	01/07/2009		N	5072803	517232	9.221779204488435	45.808573806922965	(45.808573806922965, 9.221779204488435)
2275	Radiazione Globale	W/m²	119	San Giovanni Bianco Cornalita	700	BG	12/09/2003		N	5081179	550210	9.647067600267716	45.882345916395245	(45.882345916395245, 9.647067600267716)
6159	Umidità Relativa	%	596	Osio Sotto	182	BG	04/04/2000		N	5052072	547691	9.611737821812373	45.62055567939559	(45.62055567939559, 9.611737821812373)
11847	Direzione Vento	°	143	Livigno Passo Foscagno	2320	SO	22/02/2012		N	5149692	592662	10.20748854795916	46.49442378267979	(46.49442378267979, 10.20748854795916)
8588	Temperatura	°C	998	Laveno-Mombello p.zza Matteotti	207	VA	24/06/1999		N	5084109	470426	8.61868470587428	45.909913257580605	(45.909913257580605, 8.61868470587428)
19081	Direzione Vento	°	654	Sarezzo v.Minelli	269	BS	30/01/2014		N	5055826	593900	10.205090218837002	45.64962671224069	(45.64962671224069, 10.205090218837002)
14296	Velocità Vento	m/s	1347	Barzio Piani di Bobbio	1713	LC	16/10/2012		N	5089669	538832	9.50113070001856	45.95949319076256	(45.95949319076256, 9.50113070001856)
2459	Temperatura	°C	134	Corzano Bargnano	93	BS	03/05/1998		N	5031659	581271	10.039027376964667	45.43372847020967	(45.43372847020967, 10.039027376964667)
8006	Precipitazione	mm	856	Fortunago	501	PV	01/01/1998		N	4973248	515391	9.19498278361842	44.91249258331864	(44.91249258331864, 9.19498278361842)
19116	Velocità Vento	m/s	706	Lecco v.Sora	272	LC	17/12/2013		N	5078987	531045	9.399950344681852	45.86374884127965	(45.86374884127965, 9.399950344681852)
9308	Precipitazione	mm	646	Como Villa Gallia	201	CO	01/01/1999		N	5073500	505203	9.06697137484454	45.81504286011291	(45.81504286011291, 9.06697137484454)
14058	Temperatura	°C	1324	Limone sul Garda	75	BS	13/03/2012		N	5074143	639088	10.790041404031163	45.80682631535527	(45.80682631535527, 10.790041404031163)
6158	Umidità Relativa	%	594	Bergamo v.Goisis	290	BG	13/09/1996		N	5062715	553620	9.688958745309764	45.715912469852206	(45.715912469852206, 9.688958745309764)
8153	Livello Idrometrico	cm	886	Vigevano SS494	94	PV	25/05/2000		N	5020886	490573	8.879674491227794	45.341419871961165	(45.341419871961165, 8.879674491227794)
14089	Umidità Relativa	%	1326	Toscolano-Maderno	70	BS	22/03/2012		N	5054923	626016	10.616881058085147	45.63641191007713	(45.63641191007713, 10.616881058085147)
14443	Precipitazione	mm	1366	Porlezza torrente	291	CO	12/12/2012		N	5098254	510895	9.140799377952803	46.03777316988709	(46.03777316988709, 9.140799377952803)
14645	Temperatura	°C	1382	Veddasca Monte Cadrigna	1302	VA	19/07/2013		N	5102054	482122	8.768815132883134	46.07182707589298	(46.07182707589298, 8.768815132883134)
9334	Velocità Vento	m/s	635	Tavazzano con Villavesco Enel 10m	80	LO	16/05/2004	03/08/2015	S	5020197	533382	9.426033342934328	45.33448673932815	(45.33448673932815, 9.426033342934328)
2612	Umidità Relativa	%	212	Canzo	1233	CO	26/11/2008		N	5077224	524701	9.318132023436622	45.84813790508536	(45.84813790508536, 9.318132023436622)
9008	Temperatura	°C	1216	Valbondione	1784	BG	01/12/2000		N	5101745	580328	10.038606996418281	46.064560809857326	(46.064560809857326, 10.038606996418281)
14664	Precipitazione	mm	1383	Sarezzo v.della Fonte	290	BS	02/11/2012		N	5057824	592468	10.187096209540632	45.66779897910953	(45.66779897910953, 10.187096209540632)
14030	Direzione Vento	°	1211	Castronno	379	VA	12/02/2012		N	5066146	486058	8.82075558870268	45.748730816584875	(45.748730816584875, 8.82075558870268)
11856	Direzione Vento	°	835	Valdisotto Oga S. Colombano	2300	SO	18/05/2012		N	5145272	600293	10.305951823970043	46.45356305894081	(46.45356305894081, 10.305951823970043)
8175	Livello Idrometrico	cm	893	Casei Gerola v. Mazzini	89	PV	01/01/2003	29/11/2011	S	4983587	494420	8.92919452903871	45.00570867301313	(45.00570867301313, 8.92919452903871)
8157	Temperatura	°C	817	Pavia SS 35	71	PV	04/05/2000		N	5003026	511523	9.14666411623237	45.18062204522296	(45.18062204522296, 9.14666411623237)
9038	Altezza Neve	cm	1217	Schilpario	1096	BG	01/01/2004	23/09/2012	S	5095451	588221	10.139475771081505	46.00695141629951	(46.00695141629951, 10.139475771081505)
8105	Livello Idrometrico	cm	852	Lavenone Galleria Agricoltori	370	BS	01/01/1998		N	5065630	612858	10.450600005181231	45.735017491359756	(45.735017491359756, 10.450600005181231)
4059	Umidità Relativa	%	147	Cinisello Balsamo Parco Nord	142	MI	30/05/2002		N	5043257	516051	9.20560341214932	45.5426646784016	(45.5426646784016, 9.20560341214932)
6421	Umidità Relativa	%	629	Crema v.XI febbraio	79	CR	01/01/2002		N	5023885	555127	9.703945513613167	45.366309078194334	(45.366309078194334, 9.703945513613167)
5878	Precipitazione	mm	574	Lecco v. Amendola	214	LC	01/01/1991	25/09/2008	S	5077479	530713	9.395577066893223	45.850191194578535	(45.850191194578535, 9.395577066893223)
14606	Temperatura	°C	1380	Tremezzo	309	CO	18/04/2013		N	5092705	516580	9.214075142242038	45.98771660100418	(45.98771660100418, 9.214075142242038)
8215	Precipitazione	mm	899	Castiglione delle Stiviere	109	MN	11/03/2003		N	5025628	618385	10.511930773425743	45.37415993773191	(45.37415993773191, 10.511930773425743)
19122	Velocità Vento	m/s	572	Morbegno v.Cortivacci	262	SO	24/01/2014	29/09/2015	S	5108901	543736	9.566179893984474	46.132282960003735	(46.132282960003735, 9.566179893984474)
10554	Precipitazione	mm	554	Saronno v.Santuario	212	VA	06/07/2010		N	5052520	503123	9.04006309067821	45.626218960836006	(45.626218960836006, 9.04006309067821)
2239	Precipitazione	mm	116	Ispra prato	193	VA	25/10/2001	01/05/2011	S	5073482	470058	8.614601410385973	45.8142505176502	(45.8142505176502, 8.614601410385973)
6727	Temperatura	°C	644	Vigevano v.Petrarca	107	PV	24/01/2004	09/10/2013	S	5019220	489053	8.860310253579987	45.326401500542325	(45.326401500542325, 8.860310253579987)
14775	Velocità Vento	m/s	1553	Mozzanica v.Donizetti	104	BG	20/07/2015		N	5036208	553342	9.682488661964785	45.47736192966103	(45.47736192966103, 9.682488661964785)
14774	Direzione Vento	°	1553	Mozzanica v.Donizetti	104	BG	20/07/2015		N	5036208	553342	9.682488661964785	45.47736192966103	(45.47736192966103, 9.682488661964785)
10472	Velocità Vento	m/s	1266	Bertonico	65	LO	03/03/2009		N	5009105	552297	9.666250375296032	45.23349364130374	(45.23349364130374, 9.666250375296032)
6440	Radiazione Globale	W/m²	629	Crema v.XI febbraio	79	CR	01/01/2002		N	5023885	555127	9.703945513613167	45.366309078194334	(45.366309078194334, 9.703945513613167)
14360	Velocità Vento	m/s	1359	Breno Lago Della Vacca	2410	BS	09/12/2012		N	5090337	611798	10.442716428689312	45.957496834144656	(45.957496834144656, 10.442716428689312)
6197	Umidità Relativa	%	552	Varese v.Vidoletti	425	VA	23/12/1991		N	5075945	484773	8.80392612667495	45.83690077655548	(45.83690077655548, 8.80392612667495)
2361	Temperatura	°C	125	Castello d'Agogna	106	PV	01/01/1993		N	5010411	476502	8.700571652227913	45.246800446962254	(45.246800446962254, 8.700571652227913)
4004	Radiazione Globale	W/m²	140	Motta Visconti SMR	100	MI	28/10/2008		N	5014273	499103	8.988562726793255	45.281956197427846	(45.281956197427846, 8.988562726793255)
14132	Umidità Relativa	%	1329	Lavena Ponte Tresa via della Boschiva	269	VA	18/04/2012		N	5090913	488398	8.850242265176595	45.971690301316634	(45.971690301316634, 8.850242265176595)
9122	Precipitazione	mm	1208	Olgiate Comasco casa Cantalupo	382	CO	01/01/2004	21/03/2014	S	5071532	498419	8.979656309104351	45.79734739402479	(45.79734739402479, 8.979656309104351)
